evid;dt;opid;dispid;rsname;mcssn;mcsname;msuid;msuname;grpname;typeid;direction;statusid;description;duration;notRead;recorded;media;extdispid;soundfile;trgid;trgname;grpid;loneworker;addInfo;sourceid;userName;source_name;target_name;source_uid;target_uid;channel_id;is_server_event
128218;2025-04-18 23:09:37.357;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;الزورق السريع صقر33;VOIX TUNIS;dmr:11787020@subscribers.global;dmr:6505@subscribers.global;17826016;0
128219;2025-04-18 23:09:37.357;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة امن عمومي شرفش;VOIX TUNIS;dmr:11062037@subscribers.global;dmr:6505@subscribers.global;17826016;0
128220;2025-04-18 23:09:37.357;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات منطقة اريانة;VOIX TUNIS;dmr:11062001@subscribers.global;dmr:6505@subscribers.global;17826016;0
128221;2025-04-18 23:09:37.357;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;فرقة أمن عمومي التضامن;VOIX TUNIS;dmr:11072026@subscribers.global;dmr:6505@subscribers.global;17826016;0
128222;2025-04-18 23:09:37.357;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة فرقة الطريق العمومي بأريانة 24020;VOIX TUNIS;dmr:11062035@subscribers.global;dmr:6505@subscribers.global;17826016;0
128223;2025-04-18 23:09:37.357;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة مركز مرور حدائق المنزه33275;VOIX TUNIS;dmr:11083008@subscribers.global;dmr:6505@subscribers.global;17826016;0
128224;2025-04-18 23:09:38.390;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;2;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة مركز أمن عمومي البساتين 26765;VOIX BEN AROUS;dmr:11112056@subscribers.global;dmr:6505@subscribers.global;19923168;0
128225;2025-04-18 23:09:38.390;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;2;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة أمن عمومي حمام الشط 36792;VOIX BEN AROUS;dmr:11112052@subscribers.global;dmr:6505@subscribers.global;19923168;0
128226;2025-04-18 23:09:38.390;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;2;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة طريق عمومي بن عروس 27865;VOIX BEN AROUS;dmr:11112051@subscribers.global;dmr:6505@subscribers.global;19923168;0
128227;2025-04-18 23:09:38.390;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;2;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة طريق عمومي فوشانة 25648;VOIX BEN AROUS;dmr:11132033@subscribers.global;dmr:6505@subscribers.global;19923168;0
128228;2025-04-18 23:09:38.390;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;2;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة أ ع مرناق 27779;VOIX BEN AROUS;dmr:11132037@subscribers.global;dmr:6505@subscribers.global;19923168;0
128229;2025-04-18 23:09:38.390;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;2;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز مرور تونس;VOIX BEN AROUS;dmr:11023005@subscribers.global;dmr:6505@subscribers.global;19923168;0
128230;2025-04-18 23:09:38.390;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;2;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;المركز البحري بالزهراء;VOIX BEN AROUS;dmr:11817036@subscribers.global;dmr:6505@subscribers.global;19923168;0
128231;2025-04-18 23:24:09.597;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (مركز أمن عمومي بومهل);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز أمن عمومي بومهل;All Call;dmr:11112001@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128232;2025-04-18 23:24:20.030;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (مركز أمن عمومي بومهل);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز أمن عمومي بومهل;All Call;dmr:11112001@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128233;2025-04-18 23:26:01.310;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;1;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مرور مرناق;VOIX BEN AROUS;dmr:11133009@subscribers.global;dmr:6505@subscribers.global;19923168;0
128234;2025-04-18 23:26:01.310;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (مرور مرناق);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مرور مرناق;All Call;dmr:11133009@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128235;2025-04-18 23:29:48.763;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (مرور مرناق);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مرور مرناق;All Call;dmr:11133009@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128236;2025-04-18 23:36:32.030;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4713;VOIX AFAMAR 2';NULL;NULL;;0;0;2;AFAMAR 2' (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز إستخلاص مرناق;VOIX AFAMAR 2';dmr:11007058@subscribers.global;dmr:16448250@subscribers.global;24117472;0
128237;2025-04-18 23:37:42.097;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4713;VOIX AFAMAR 2';NULL;NULL;;0;0;2;AFAMAR 2' (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مصلحة الطرقات السيارة أ3;VOIX AFAMAR 2';dmr:11007102@subscribers.global;dmr:16448250@subscribers.global;24117472;0
128238;2025-04-18 23:38:42.167;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4713;VOIX AFAMAR 2';NULL;NULL;;0;0;2;AFAMAR 2' (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مقر المصلحة الأولى بالسريعة أ4;VOIX AFAMAR 2';dmr:11007080@subscribers.global;dmr:16448250@subscribers.global;24117472;0
128239;2025-04-18 23:38:57.153;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4713;VOIX AFAMAR 2';NULL;NULL;;0;0;2;AFAMAR 2' (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة العمليات المركزية;VOIX AFAMAR 2';dmr:11000001@subscribers.global;dmr:16448250@subscribers.global;24117472;0
128240;2025-04-18 23:41:52.877;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;3;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;فوج التدخل المركزي;VOIX TUNIS;dmr:11003033@subscribers.global;dmr:6505@subscribers.global;17826016;0
128241;2025-04-18 23:42:21.293;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;1;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات المنطقة البحرية تونس;VOIX TUNIS;dmr:11817000@subscribers.global;dmr:6505@subscribers.global;17826016;0
128242;2025-04-18 23:42:21.293;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (قاعة عمليات المنطقة البحرية تونس);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات المنطقة البحرية تونس;All Call;dmr:11817000@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128243;2025-04-18 23:42:24.073;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;;0;0;1;BEN AROUS (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات المنطقة البحرية تونس;VOIX BEN AROUS;dmr:11817062@subscribers.global;dmr:6505@subscribers.global;19923168;0
128244;2025-04-18 23:42:24.073;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (قاعة عمليات المنطقة البحرية تونس);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات المنطقة البحرية تونس;All Call;dmr:11817062@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128245;2025-04-18 23:43:37.443;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات إقليم أريانة;VOIX TUNIS;dmr:11052000@subscribers.global;dmr:6505@subscribers.global;17826016;0
128246;2025-04-18 23:44:12.503;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات منطقة حي التضامن;VOIX TUNIS;dmr:11072001@subscribers.global;dmr:6505@subscribers.global;17826016;0
128247;2025-04-18 23:44:17.480;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات منطقة حدائق المنزه;VOIX TUNIS;dmr:11082000@subscribers.global;dmr:6505@subscribers.global;17826016;0
128248;2025-04-18 23:44:37.513;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات منطقة اريانة;VOIX TUNIS;dmr:11062001@subscribers.global;dmr:6505@subscribers.global;17826016;0
128249;2025-04-18 23:46:50.817;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;1;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;الفرقة العدلية حدائق المنزه;VOIX TUNIS;dmr:11084004@subscribers.global;dmr:6505@subscribers.global;17826016;0
128250;2025-04-18 23:47:10.000;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (الفرقة العدلية حدائق المنزه);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;الفرقة العدلية حدائق المنزه;All Call;dmr:11084004@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128251;2025-04-18 23:50:22.810;1;bc0599df84a340d6a428da8322e22082;Central;511TSD5111;VOICE MANOUBA;NULL;NULL;;0;0;2;MANOUBA (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز امن عمومي طبربة;VOICE MANOUBA;dmr:11042002@subscribers.global;dmr:6505@subscribers.global;22020320;0
128252;2025-04-18 23:51:18.233;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (مركز أمن عمومي بومهل);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز أمن عمومي بومهل;All Call;dmr:11112001@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128253;2025-04-18 23:51:58.987;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;1;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات منطقة حدائق المنزه;VOIX TUNIS;dmr:11082000@subscribers.global;dmr:6505@subscribers.global;17826016;0
128254;2025-04-18 23:51:58.987;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (قاعة عمليات منطقة حدائق المنزه);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات منطقة حدائق المنزه;All Call;dmr:11082000@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128255;2025-04-18 23:52:06.423;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (قاعة عمليات منطقة حدائق المنزه);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات منطقة حدائق المنزه;All Call;dmr:11082000@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128256;2025-04-18 23:53:10.833;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (قاعة عمليات منطقة حدائق المنزه);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات منطقة حدائق المنزه;All Call;dmr:11082000@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128257;2025-04-18 23:54:02.257;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (قاعة عمليات منطقة حدائق المنزه);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;قاعة عمليات منطقة حدائق المنزه;All Call;dmr:11082000@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128258;2025-04-18 23:56:28.093;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;1604080;VOIX TUNIS;dmr:1604080@subscribers.global;dmr:6505@subscribers.global;17826016;0
128259;2025-04-18 23:56:43.140;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;1604028;VOIX TUNIS;dmr:1604028@subscribers.global;dmr:6505@subscribers.global;17826016;0
128260;2025-04-18 23:56:49.167;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;1;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;GEANT مركز الفضاء التجاري;VOIX TUNIS;dmr:11062032@subscribers.global;dmr:6505@subscribers.global;17826016;0
128261;2025-04-18 23:56:49.167;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (GEANT مركز الفضاء التجاري);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;GEANT مركز الفضاء التجاري;All Call;dmr:11062032@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128262;2025-04-18 23:56:52.703;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (GEANT مركز الفضاء التجاري);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;GEANT مركز الفضاء التجاري;All Call;dmr:11062032@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128263;2025-04-18 23:56:58.877;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;All Call;1;0;5;Tunis (1:1) (GEANT مركز الفضاء التجاري);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;GEANT مركز الفضاء التجاري;All Call;dmr:11062032@subscribers.global;dmr:all@wides.17826016.global;17826016;0
128264;2025-04-19 00:00:33.320;1;bc0599df84a340d6a428da8322e22082;Central;511TSD4885;VOIX TUNIS;NULL;NULL;;0;0;2;Tunis (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;الزورق السريع صقر33;VOIX TUNIS;dmr:11787020@subscribers.global;dmr:6505@subscribers.global;17826016;0
128265;2025-04-19 00:04:59.880;1;bc0599df84a340d6a428da8322e22082;Central;511TSD0640;VOIX HAWARIA;NULL;NULL;;0;0;3;Canal 1 (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;سيارة أمن عمومي قليبية 28395;VOIX HAWARIA;dmr:11202080@subscribers.global;dmr:16448250@subscribers.global;28311776;0
128266;2025-04-19 00:08:07.880;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (مركز أمن عمومي بومهل);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز أمن عمومي بومهل;All Call;dmr:11112001@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128267;2025-04-19 00:17:42.600;1;bc0599df84a340d6a428da8322e22082;Central;511TSD3616;VOIX BEN AROUS;NULL;NULL;All Call;1;0;5;BEN AROUS (1:1) (مركز أمن عمومي بومهل);1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مركز أمن عمومي بومهل;All Call;dmr:11112001@subscribers.global;dmr:all@wides.19923168.global;19923168;0
128268;2025-04-19 00:18:54.390;1;bc0599df84a340d6a428da8322e22082;Central;511TSD5111;VOICE MANOUBA;NULL;NULL;;0;0;2;MANOUBA (1:1);0;0;0;3;NULL;NULL;NULL;NULL;NULL;0;NULL;0;;مفترق الوطنية 7 كلم 4;VOICE MANOUBA;dmr:11033012@subscribers.global;dmr:6505@subscribers.global;22020320;0
